variant,HD,MORT,CR,DG,SDI,HI
ACD,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
AK,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
BC,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
BM,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
CA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
CI,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
CR,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
CS,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
EC,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
EM,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
IE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
KT,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
LS,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
NC,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
NE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
OC,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
ON,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
OP,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
PN,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
SN,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
SO,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
TT,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
UT,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
WC,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
WS,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
