variant,di_low_si,di_high_si,growth_increase_pct,eichhorn_pass
ACD,0.490335102171446,0.5057103052018913,3.1356521208366126,TRUE
AK,0.3846318136219445,0.6769643336958696,76.0032087104629,TRUE
BC,1.8290221163140021,3.6320570970738575,98.57917871400494,TRUE
BM,1.5050567188407347,2.0254516052993856,34.57643023975093,TRUE
CA,0.9204263604398429,1.2198404595373278,32.52993525244151,TRUE
CI,0.5087266666730111,0.855314372759682,68.12847228027137,TRUE
CR,0.8362658711881261,0.7321764722936477,-12.446926567335966,FALSE
CS,0.613547733719164,0.7177719014752867,16.987132708378418,TRUE
EC,0.6377635632599415,1.0190727220295934,59.788482869824406,TRUE
EM,0.43290295737287526,0.5037999054925364,16.377099512072625,TRUE
IE,1.2813899686223242,1.8176201361970121,41.84753905567181,TRUE
KT,0.557983671429491,0.83124405981736,48.9728288442217,TRUE
LS,0.4598923468330335,0.55466858965983,20.608353994028427,TRUE
NC,0.7771812761733293,1.2199691268270698,56.97356128211568,TRUE
NE,0.5503749672679747,0.5854544964378271,6.373750852802197,TRUE
OC,0.7257747158649697,0.9924569705696487,36.74449507197978,TRUE
ON,0.6885339672447562,0.7752949781945273,12.600832359361254,TRUE
OP,0.7122212334937881,1.276688991338397,79.2545534026868,TRUE
PN,0.7928362995669986,1.1496398729328936,45.0034355844656,TRUE
SN,0.6030511493625196,0.5942409825719279,-1.4609319292243803,FALSE
SO,0.9304673514883776,1.255470654858451,34.9290389233107,TRUE
TT,0.761019664673031,0.4906478567875003,-35.52757181402071,FALSE
UT,0.7289448220006989,0.7063085261748246,-3.105351069474025,FALSE
WC,0.7633303236856275,1.2822369643115745,67.97930391661674,TRUE
WS,1.1819087469231588,1.6245835935752035,37.45423221585016,TRUE
