variant,sp_group,n,rmse,bias,bias_pct,r2
ACD,Hardwood,24334,7.999577124216829,-0.0049045957820010155,-0.011116502075624195,0.7942526470808859
ACD,Softwood,25666,7.020914445417568,0.012661565322720395,0.03556777515412493,0.834637292984501
AK,Hardwood,3893,10.819304473298477,-0.01713193875847494,-0.03810360075798722,0.6239189498847515
AK,Softwood,46107,11.344837233421298,0.03331334666747857,0.07966437151904007,0.8021827129362841
BC,Hardwood,3742,12.278100591785687,-0.08901558408756374,-0.19329204520197735,0.7570270866192852
BC,Softwood,46258,15.143627282680935,0.17636790941968422,0.2922558316975225,0.8467067114484637
BM,Hardwood,645,6.568102241544352,-0.3703505269165106,-1.905368827160799,0.7405585516862505
BM,Softwood,49355,11.6596842705731,0.06250977749459602,0.11469289531535225,0.8686840420836751
CA,Hardwood,20980,8.435439937878462,-0.19724145587109052,-0.6083153124063563,0.6964694792761055
CA,Softwood,29020,13.708020734877316,0.23436702331336665,0.34931106824890223,0.8875355960094979
CI,Hardwood,1754,6.467735821070649,0.08503934756562466,0.4426346241026341,0.8435021215561929
CI,Softwood,48246,11.751085656994933,0.0721257065382928,0.15198943508047108,0.7839367365502692
CR,Hardwood,11511,7.161255258321176,0.060192594495700434,0.22816247369409196,0.8782906802769292
CR,Softwood,38489,7.472640310932976,-0.07084916688829146,-0.24256567221049088,0.854351125353515
CS,Hardwood,45088,9.199478652903643,-0.04089676363482075,-0.08241765529090048,0.8004681573457028
CS,Softwood,4912,8.26432287481832,-0.22950671058886968,-0.5502049656956903,0.8024576457909538
EC,Hardwood,1924,10.115407663971574,-0.6294766614717483,-1.7736151375435947,0.7998552871561777
EC,Softwood,48076,13.553849268728992,0.11968224689592911,0.19770505074769135,0.8391030987146907
EM,Hardwood,1424,9.215324105999954,0.24690290012631447,0.735574144901192,0.7427310642575353
EM,Softwood,48576,9.651170268385766,-0.0831291764281125,-0.20648543607888178,0.7482712399758824
IE,Hardwood,877,10.366678597884695,-0.32053966795891475,-0.7168879932674579,0.8225851108443736
IE,Softwood,49123,11.569182402986636,0.07994412124956264,0.1479964646072881,0.8211966698521197
KT,Hardwood,1080,11.064159980622422,-0.9983832109748818,-2.6126187101181757,0.7195218162132868
KT,Softwood,48920,11.049914302429839,0.005898257100047733,0.01295588008063942,0.7753012744008538
LS,Hardwood,32115,8.702877190295027,4.087428032020926e-4,8.246124766837537e-4,0.8013730952299206
LS,Softwood,17885,7.975486614622083,0.09440674462527167,0.23703038679831478,0.768269855253485
NC,Hardwood,13661,10.738710314703571,0.06359209010034848,0.14546963079833095,0.7474403538881613
NC,Softwood,17102,18.392607783886902,0.06875571552831743,0.07922625604477117,0.8753097056521645
NE,Hardwood,33331,9.6142010097609365,-0.032603254018715194,-0.06463003242493948,0.7813904420023683
NE,Softwood,16669,8.053904473561204,0.1321354560926659,0.3427328673875353,0.8159677406400399
OC,Hardwood,17253,10.142722920670208,-0.3305247932898922,-0.8906078511303347,0.7417314412996927
OC,Softwood,32747,15.04612979389897,0.08166270153780651,0.12299814676658528,0.8738514238493539
ON,Hardwood,32145,8.842529165250479,-0.13106204635205784,-0.26421015703309375,0.797149451387284
ON,Softwood,17855,8.092610896990609,0.16376500063897975,0.41087605337536437,0.76622828431493
OP,Hardwood,5471,12.21218613701195,-0.5923112994321006,-1.2631301429724737,0.7516459978225609
OP,Softwood,44529,15.476911343597052,0.1318765065792846,0.19485504524083472,0.8816861561435007
PN,Hardwood,9054,13.502264284664173,0.18017829368821384,0.291078907268717,0.6924764139730935
PN,Softwood,40946,17.148025078881926,0.1531672319823615,0.18677840400974022,0.8678158220270689
SN,Hardwood,30724,9.764312364687402,-0.34033425891341024,-0.7046956960373695,0.8286345290442568
SN,Softwood,19276,10.339515690175586,-0.06922238733765106,-0.13339879034293806,0.7501913256003547
SO,Hardwood,981,6.733697745058307,0.3440004570001747,1.6153580408653072,0.759262277295007
SO,Softwood,49019,10.692284655243233,0.19221195154041,0.3990028632452734,0.867558640114535
TT,Hardwood,322,4.628489269067236,0.00806170815535875,0.045669775264347595,0.7328052701280492
TT,Softwood,1683,3.3755266746538704,0.02901910605823339,0.21256596229111593,0.8115266185922054
UT,Hardwood,12229,6.16482213035204,0.057755401015875396,0.2514000345348132,0.8685960698283346
UT,Softwood,37771,6.116304457341119,0.13254755938654159,0.6483985600263509,0.8590442934886511
WC,Hardwood,3472,13.245700808873654,-0.28736836981318037,-0.5498115280715061,0.7359405191904507
WC,Softwood,46528,15.969812850528749,0.16075866231994515,0.21130722068901206,0.8938566349950765
WS,Hardwood,10689,9.62256142533965,-0.32466811145974966,-0.9845852405994434,0.743292001533457
WS,Softwood,39311,14.344597019074222,-0.03583788769830622,-0.057890261928086904,0.8744852530460969
