component,metric,model,n_variants,mean_val,sd_val,min_val,max_val
Crown_Ratio,bias,calibrated,25,8.867870448391983e-4,0.010403880943646438,-0.024352140312857023,0.02351716682821419
Crown_Ratio,r2,calibrated,25,0.2367309370765003,0.06130546062352274,0.13518510204537448,0.37568118099649495
Crown_Ratio,rmse,calibrated,25,1.5531717139609507,0.4595041126315728,0.991443453254624,3.02462235777312
Diameter_Growth,bias,calibrated,25,0.06583569595278892,0.24696400677392205,-0.5479901169876037,0.6172207192214753
Diameter_Growth,r2,calibrated,25,0.5620668900041708,0.10400196413586717,0.30493530730419793,0.68618172516118
Diameter_Growth,rmse,calibrated,25,0.8318826691384839,0.10450393378200314,0.6415922070794251,1.1295077834473597
Height_Diameter,bias,baseline,25,-1.0182880343778757,0.3600282139792188,-1.8933888295574695,-0.5040660546819976
Height_Diameter,bias,calibrated,25,0.02660138945953548,0.10477766986956362,-0.2285653150663304,0.21550882149528267
Height_Diameter,r2,baseline,25,0.806814437603064,0.04668166838472845,0.7190801014787482,0.878453102161809
Height_Diameter,r2,calibrated,25,0.8367241006416144,0.04164529980954869,0.7495786549830092,0.898420618208533
Height_Diameter,rmse,baseline,25,12.129518909778094,3.7136901451686324,3.9757301597306274,18.819008720870357
Height_Diameter,rmse,calibrated,25,11.095479439492847,3.2416267757087054,3.6062140505626905,16.576336154798213
Mortality,auc,calibrated,25,0.7660313147016774,0.09918647573119803,0.6596569237745051,0.9335181136985549
Mortality,brier_score,calibrated,25,0.0777048515401124,0.038407896507851494,0.023316087937662055,0.1543911691887349
Mortality,overall_mort_rate,calibrated,25,0.10444084246763388,0.04895592634232338,0.04251386321626616,0.23220633214846653
SDIMAX,correlation,comparison,15,0.5969315641593332,0.12700802710994089,0.40640756586973803,0.7894928170495674
SDIMAX,mean_pct_change,comparison,15,-23.258991300530486,6.795966966547895,-39.560268733924985,-11.38273802975478
