variant,rmse_calibrated,rmse_default,bias_calibrated,bias_default,r2_calibrated,r2_default,rmse_change_pct,bias_reduction,r2_change
AK,0.9399432753501913,2.0979211302953016,-0.35278948516256553,1.6380152653226914,0.5224263582519777,-1.392149564683987,-55.19644367098368,1.285225780160126,1.9145759229359647
BM,0.7591892937228051,2.375299633533857,-0.05881537600595807,-0.39668196983422005,0.6240061332495471,-2.6805897671345496,-68.03816735350901,0.337866593828262,3.3045959003840966
CA,0.8333817564413758,3.075159495784,0.14270824868126034,-0.5868448300588813,0.6436563424523669,-3.8519503340831998,-72.89955992253637,0.444136581377621,4.495606676535567
CI,0.8702834071348095,6.213259941511774,-0.20586360942140705,0.06339077450322424,0.5101458017559859,-24.044143969899586,-85.99312735460643,-0.1424728349181828,24.554289771655572
CR,0.8543349863189045,NA,-0.151153925403341,NA,0.4243713376096926,NA,NA,NA,NA
CS,0.8354890865364771,1.5058789987051577,0.04402030300969203,-0.22930861850810644,0.5687001056552454,-0.4011284198773737,-44.5181792657392,0.1852883154984144,0.9698285255326191
EC,0.8098862377425801,4.333409951542665,-0.13862740333726462,-3.951989245783192,0.6019803798555932,-10.395043706528012,-81.31064803932834,3.8133618424459277,10.997024086383606
EM,0.768082460861115,3.4802531470609193,0.01836915071290226,0.5064220659075295,0.5025672321830226,-9.212695047342521,-77.93027034513962,0.48805291519462723,9.715262279525543
IE,0.7999881476014986,44.8037717533732,-0.05120903485885314,-25.701798089161766,0.588940994198913,-1289.0616182564188,-98.21446249658375,25.650589054302912,1289.6505592506178
LS,0.7795678610090875,1.4086535441847579,-0.027083167402927513,-0.028831876866211963,0.5913808214051219,-0.3341949068163792,-44.658651928480154,0.00174870946328445,0.9255757282215011
NC,0.8972000602849448,2.6282405979587113,-0.08595528481290034,-2.1790769224519715,0.6601958154735859,-1.9159520185724181,-65.86309255774461,2.0931216376390713,2.576147834046004
NE,0.772582399357024,2.0255245781265394,-0.03500328084124663,1.8093771592997718,0.6477712011392154,-1.4180268689513609,-61.85766355540323,1.7743738784585252,2.065798070090576
PN,0.8566106432073919,1.7295495818192053,0.02560035367478848,-0.1734018975928258,0.5745518438205771,-0.7343859508225046,-50.472038950951806,0.1478015439180373,1.3089377946430818
SN,0.9064821886469606,3.5127748294724572,0.2516998218158666,3.1697206722108318,0.5209158184706668,-6.194388822454205,-74.19469699448129,2.9180208503949654,6.715304640924872
SO,0.7906508322834728,2.5308573676700528,0.03702883218061538,-0.4434790137990515,0.6056323069117169,-3.0407986040012878,-68.75956573517384,0.40645018161843616,3.6464309109130046
UT,0.8256143358366463,23.35206627204183,-0.19970182782903126,15.791966214318355,0.4169040835172071,-465.48338326641027,-96.46449129503752,15.592264386489324,465.90028734992745
WC,0.9000200306331628,1.9160067119958344,0.26886154642287247,0.20255253342744098,0.5635005870795646,-0.9782144322862278,-53.026258989685644,-0.06630901299543149,1.5417150193657925
WS,0.8366209220839794,2.656210810688637,-0.06295489450786383,-2.352060501805823,0.6249842765179427,-2.7802203400470686,-68.50321824166204,2.289105607297959,3.4052046165650114
