variable,p50,p05,p95,rhat,ess_bulk
b_Intercept,0.0583109,-0.04987949,0.16821404999999998,1.0064928473857087,557.86870637502
b_CR_t1_std,0.538585,0.5321327,0.5451811,1.000376200959359,7326.354747696766
b_DBH_std,0.15405049999999998,0.1332125,0.17241410000000001,1.0006108820781618,2384.6345094706035
b_IDBH_stdE2,-0.014124049999999999,-0.01675379,-0.01156563,1.0004603223830557,5615.494680359899
b_BA_std,-0.0896019,-0.09963728000000001,-0.07969676,1.0010843370156361,4568.134002346332
b_BAL_std,-0.04684625,-0.058046665,-0.036005770000000006,1.0019744126815797,4965.45297968293
b_SI_std,-0.04108635,-0.04725549,-0.03521859,1.001538892293952,7172.720772922481
b_relDBH_std,-0.06432035,-0.07585880999999998,-0.053079195,1.001770915558905,5478.034847030572
sd_SPCD_grouped__Intercept,0.270362,0.20155194999999998,0.3857263999999999,1.0019472900883735,957.194547423674
sd_SPCD_grouped__DBH_std,0.0287486,0.013760789999999998,0.05263326999999996,1.0059130118392365,997.7593243336064
cor_SPCD_grouped__Intercept__DBH_std,-0.311453,-0.78819035,0.4115051999999998,1.00173259873337,2564.798740138583
phi,12.0726,11.919179999999999,12.22941,1.0031147787729515,7518.456308385464
Intercept,0.0403844,-0.06798655499999999,0.1497907,1.0064959378825342,557.7675961826903
"r_SPCD_grouped[OTHER,Intercept]",0.05792295,-0.16275330000000002,0.28822939999999997,1.0007804792060753,2378.1801247516446
"r_SPCD_grouped[17,Intercept]",-0.02485205,-0.13588789999999998,0.086323225,1.005983620737737,562.3710960117317
"r_SPCD_grouped[19,Intercept]",0.113209,0.0029893465000000057,0.2206812499999999,1.0068381886402127,558.6695060174247
"r_SPCD_grouped[66,Intercept]",0.7153240000000001,0.48455275000000003,0.9683183000000001,1.0011691806022207,2059.0606891990965
"r_SPCD_grouped[72,Intercept]",-0.1953545,-0.37112839999999997,-0.03510978,1.0014461930141523,1253.8169176218266
"r_SPCD_grouped[73,Intercept]",-0.22809449999999998,-0.34254365,-0.11653820000000005,1.0071606143971572,577.6366698460091
"r_SPCD_grouped[93,Intercept]",0.1092565,-0.0028751424999999995,0.22111314999999995,1.0065914772529705,565.970787866157
"r_SPCD_grouped[101,Intercept]",-0.241603,-0.37350490000000003,-0.10976810000000009,1.0052432591627802,798.9999630462012
"r_SPCD_grouped[108,Intercept]",-0.2241325,-0.3350218,-0.11485665000000018,1.0065692580776848,573.2681771858566
"r_SPCD_grouped[119,Intercept]",0.04644795,-0.07935396,0.17405789999999996,1.0042976811676354,760.8368604117859
"r_SPCD_grouped[122,Intercept]",-0.1055825,-0.2176358,0.008890144999999983,1.0059945747783363,606.899244192648
"r_SPCD_grouped[202,Intercept]",-0.13042399999999998,-0.2394158,-0.020714770000000004,1.006747068386537,561.1150793874987
"r_SPCD_grouped[231,Intercept]",0.168871,0.0025294110000000027,0.33998604999999976,1.0013862743329387,1298.845144749362
"r_SPCD_grouped[242,Intercept]",0.111029,3.13711415000004e-4,0.22199339999999984,1.0061401982081986,567.6302571822514
"r_SPCD_grouped[263,Intercept]",0.1310805,0.01826226,0.24183299999999996,1.006094238862517,583.3348904165873
"r_SPCD_grouped[264,Intercept]",0.257483,0.14308455,0.36907325,1.0067203265293818,569.4938787454654
"r_SPCD_grouped[375,Intercept]",0.00531714,-0.1260279,0.13683949999999998,1.003347252029337,787.2436510239844
"r_SPCD_grouped[746,Intercept]",-0.435767,-0.5982149999999999,-0.29374455000000016,1.0043018099991066,1074.0535066889615
"r_SPCD_grouped[747,Intercept]",-0.153914,-0.31880319999999995,-0.0020597930000000025,1.0013874312346664,1140.202185128117
"r_SPCD_grouped[OTHER,DBH_std]",0.00261005,-0.042152465,0.051145299999999914,1.0001728541381165,5791.6704589161245
"r_SPCD_grouped[17,DBH_std]",-0.00668579,-0.02571896,0.013204274999999993,1.000793791200587,2672.757065090019
"r_SPCD_grouped[19,DBH_std]",0.004448195,-0.016770925000000002,0.028583284999999993,1.0002084545655712,3001.2828380331234
"r_SPCD_grouped[66,DBH_std]",-0.0249487,-0.1050966,0.0373708949999999,1.0025858135074364,2499.2772039122797
"r_SPCD_grouped[72,DBH_std]",-5.243265e-4,-0.047311885,0.04167877999999999,1.0020021635229013,4769.684637252369
"r_SPCD_grouped[73,DBH_std]",0.02302885,4.439747500000009e-4,0.049630624999999984,1.0009283749551645,2554.1233465486425
"r_SPCD_grouped[93,DBH_std]",0.006932035,-0.013323155,0.030366129999999988,1.0009534750204798,2792.8113176177067
"r_SPCD_grouped[101,DBH_std]",-0.006986905,-0.057721625,0.03167515,1.0007923354875652,3783.022467331707
"r_SPCD_grouped[108,DBH_std]",0.0143339,-0.010192409999999999,0.04210072999999997,1.0009672074129206,3117.8541287033354
"r_SPCD_grouped[119,DBH_std]",-0.009625334999999999,-0.050715345,0.02503613499999998,1.0009262512990216,4357.591663781463
"r_SPCD_grouped[122,DBH_std]",-0.007996085,-0.032642555,0.015725594999999988,1.0009416995455223,3584.410185496341
"r_SPCD_grouped[202,DBH_std]",1.7785799999999998e-4,-0.017169745,0.020189185,1.0003269728782234,2275.9759975300544
"r_SPCD_grouped[231,DBH_std]",-0.0140047,-0.07240938999999999,0.025380014999999978,1.002597074755373,3431.370552601786
"r_SPCD_grouped[242,DBH_std]",0.0191103,-0.0017029564999999991,0.04402640499999998,1.0008554746917342,2181.3572389229253
"r_SPCD_grouped[263,DBH_std]",0.0317901,4.950297000000007e-4,0.06909986999999998,1.001837047715336,1833.0923059191703
"r_SPCD_grouped[264,DBH_std]",-0.04294265,-0.07772254999999999,-0.011565725000000002,1.0036296637800102,1966.9147775051501
"r_SPCD_grouped[375,DBH_std]",-0.0062088149999999995,-0.051000149999999994,0.034232184999999984,1.0008463951239581,4885.283545661269
"r_SPCD_grouped[746,DBH_std]",0.01333945,-0.034952105,0.07304851499999997,1.000735648492673,3523.0406308319316
"r_SPCD_grouped[747,DBH_std]",0.00623352,-0.034967695,0.05309439499999999,1.0020655503779077,5461.164754497742
lprior,-21.5702,-21.690005000000003,-21.493190000000002,1.0013171629797268,966.1688057827297
lp__,18807.5,18795,18817.3,1.0068892731749752,682.6434122642427
