SPCD,n_stands,ba_p95,ba_p97,ba_p99,ba_max_obs,ba_mean,bamax_calibrated,fvs_bamax_prior,w_obs,w_prior,bamax_combined
17,1084,265.4770627539083,282.10608107888515,325.16413628178674,384.1503551920475,145.49738563055826,282.10608107888515,NA,0.8,0.19999999999999996,282.10608107888515
19,1888,199.845317352358,215.763741582512,237.41022754563946,310.48949545524897,111.56756585045026,215.763741582512,NA,0.8,0.19999999999999996,215.763741582512
64,74,212.83288730999996,232.75939809600007,332.72620586999994,343.8403398,104.8413848864693,232.75939809600007,NA,0.74,0.26,232.75939809600007
65,103,243.01582079720987,246.23329411664255,287.3504225984184,380.9853522,99.59666139120824,246.23329411664255,NA,0.8,0.19999999999999996,246.23329411664255
66,273,145.09938185240665,161.12082880974938,180.76306794174627,211.639743,71.97220803480205,161.12082880974938,NA,0.8,0.19999999999999996,161.12082880974938
73,460,215.18178463279455,234.8907272921256,256.28978945327106,319.182458004583,113.09535510556495,234.8907272921256,NA,0.8,0.19999999999999996,234.8907272921256
93,1103,235.93282355567285,245.76688680579824,275.94863310289213,366.6457415194603,134.11015354593204,245.76688680579824,NA,0.8,0.19999999999999996,245.76688680579824
101,442,235.4097093086029,253.6277314803289,273.01224343774544,331.3010599822235,114.53772079108498,253.6277314803289,330,0.8,0.19999999999999996,268.9021851842631
108,2850,211.24028807736352,226.75762001033232,259.9424696329225,305.90586975135113,115.52510557952884,226.75762001033232,310,0.8,0.19999999999999996,243.40609600826588
113,89,180.49104781010976,190.2627873861901,204.01190393837618,205.7115730212855,91.47327664183086,190.2627873861901,380,0.8,0.19999999999999996,228.21022990895204
119,31,154.839492931048,176.88148605685342,181.8897806108519,184.3939278878511,80.59082276512761,176.88148605685342,140,0.31,0.69,151.43326067762456
122,1210,165.94280244020564,179.95114546672153,225.11091553413866,295.8803568816487,84.61094039352442,179.95114546672153,310,0.8,0.19999999999999996,205.9609163733772
202,5242,210.84168424265167,230.0061779999434,270.92825950936856,397.6426582285892,113.59958062422628,230.0061779999434,250,0.8,0.19999999999999996,234.0049423999547
242,448,368.1209505842456,392.43507714737723,444.78130470528896,495.9372912746036,180.62242238524385,392.43507714737723,270,0.8,0.19999999999999996,367.9480617179018
263,196,258.77276371377855,272.9550294833502,316.97274385760477,378.3575257772504,158.35056871882853,272.9550294833502,240,0.8,0.19999999999999996,266.36402358668016
264,169,305.33631278877624,315.44185589234144,348.039049484429,388.88671807706345,174.2909994229412,315.44185589234144,290,0.8,0.19999999999999996,310.3534847138732
322,37,144.33043861831834,174.33657918183195,182.092436208,184.579722,79.77344739632817,174.33657918183195,NA,0.37,0.63,174.33657918183195
375,25,195.29865472108412,213.5309611597871,236.04339516184064,247.29961216286753,99.9846085763919,213.5309611597871,290,0.25,0.75,270.88274028994675
475,87,147.1386864648631,152.74278237600004,170.59712767200003,221.1891516,83.69956479031308,152.74278237600004,NA,0.8,0.19999999999999996,152.74278237600004
745,21,207.7780125144697,211.4475233304857,215.11703414650168,216.95178955450965,99.41068891446847,211.4475233304857,NA,0.21,0.79,211.4475233304857
746,240,140.96810262888692,149.1371121800053,154.39228866674853,163.71603399894877,74.81418490555095,149.1371121800053,390,0.8,0.19999999999999996,197.30968974400423
747,44,163.3379393627037,174.18736603463503,180.23535237358124,182.2442054938081,93.48191305828402,174.18736603463503,NA,0.44,0.56,174.18736603463503
