variable,p50,Est.Error,p025,p975,Rhat,Bulk_ESS,Tail_ESS
Intercept,3.822648695,0.47893640305774465,2.9457382500000002,4.81965,1.000494134876511,2469.8709770789874,2565.239357718641
DBH_std,-0.615509245563375,0.525913878611277,-1.61387225,0.4540379000000001,1.0011032081661477,2410.483439527602,2543.4758538176334
IDBH_stdE2,-0.1077649477274,0.22019960139959485,-0.5030676749999999,0.3325652,0.9996758250203713,3571.199274212028,2891.456019624174
BAL_std,-0.3030058064465,0.6117616147822234,-1.5151407499999998,0.839793225,0.9999523749824041,3395.8466334545124,3326.8821385845836
CR_std,0.073958943839125,0.27713250516810056,-0.48396882499999977,0.6051053000000001,1.0011152578946656,3627.782653429095,2908.850399815229
SI_std,-0.40460945505075,0.2834867732401196,-0.97145195,0.1308569250000002,1.0010586857831736,3176.072446135914,2932.919725200239
BA_std,1.7696833641625,0.6125043482698037,0.6183051000000003,3.0194472500000002,1.0006909779746884,2500.70319813426,2577.3897016523165
DBH_BAL,-1.5031520165,0.44180332951036405,-2.4034047499999995,-0.6662994499999999,1.001037935485853,2446.9710944852213,2789.8816107309376
ELEV_std,0.75769419920775,0.399570862462907,0.015559790000000169,1.580187,1.0014721030388658,2824.1325784739015,2651.9689354483676
SLOPE_std,-0.85799014972,0.3454628373863703,-1.5646329999999997,-0.21533282499999987,1.001772625348639,3141.5802812113106,2908.839823214195
